name,latitude,longitude,free_bikes,empty_slots
Beatty / de Verdun,45.450729976972944,-73.5725748538971,11,11
Parc de Dieppe,45.501863463435576,-73.5439610481262,7,24
Jogues / Allard,45.450020323797766,-73.60030621290207,7,12
Ropery / Augustin-Cantin,45.48097552629275,-73.56863468885422,12,8
Gagne / LaSalle,45.422451407155854,-73.601194024086,17,1
LaSalle / 37e avenue,45.416294661505354,-73.6129005253315,14,5
Fortune / Wellington,45.477923,-73.559038,14,13
Du Quesne / de Marseille,45.575812361972055,-73.54123055934906,4,19
Métro Cadillac (Cadillac / Sherbrooke),45.57683333463968,-73.54647415224463,14,5
Parc Loyola (Doherty / Somerled),45.45973217968101,-73.64468067884445,14,1
Métro Honoré-Beaugrand (Sherbrooke / Honoré-Beaugrand),45.59685627935051,-73.53526366878214,1,19
Ste-Claire / Pierre-Tétreault,45.60191332161639,-73.52441847324371,8,7
Parc Félix-Leclerc (François-Boivin / St-Zotique),45.5914549914687,-73.56275528669356,9,4
Duchesneau / de Marseille,45.60962627826218,-73.52273898082785,14,4
Parc MacDonald (Clanranald / Isabella),45.48274245886277,-73.63497912883759,1,12
Parc nature de l'Île-de-la-Visitation (Gouin / de Bruchési),45.57833184623925,-73.65595400333405,1,16
Parc Georges St-Pierre (Oxford / Upper Lachine),45.46887995929811,-73.60943913459778,14,4
Parc de la Confédération (Fielding / West Hill),45.471881993586074,-73.64002168178558,21,2
Métro du Collège (Cartier / Décarie),45.50843904979172,-73.6729645729065,12,4
des Récollets / Martial,45.590916779468024,-73.64067547023296,6,10
41e avenue / Rosemont,45.57178977666956,-73.56431499123573,14,5
Notre-Dame-de-Grâce / Westmount,45.48046706437983,-73.61122308304402,9,6
Elgar / de l'Île-des-Sœurs,45.45682318753668,-73.546804189682,9,4
Plymouth / Chem.Eden,45.506488823782234,-73.66047888994217,9,4
Parc Ferland (Belleherbe / Albanel),45.59573798024675,-73.59529852867126,3,11
de Lisieux / Jean-Talon,45.57934937043077,-73.58168095350266,1,16
O'Brien / Poirier,45.52252484113786,-73.69143962860107,7,14
de Maisonneuve / Wood,45.48819793805841,-73.58807051185067,6,11
Thimens / Alexis-Nihon,45.50897852206792,-73.69856357574463,4,4
Parc Van Horne (de la Peltrie / de Westbury),45.490494421832885,-73.63852232694626,11,4
Hôpital Sacré-Coeur (Forbes),45.531943590076395,-73.71360540390015,5,8
Parc de Beauséjour (Gouin / Henri-d'Arles),45.526765,-73.730423,8,8
Liébert / Hochelaga,45.59587457490178,-73.52352797985077,8,11
LaSalle / Godin,45.44693448484644,-73.57219934463501,22,4
Argyle / Bannantyne,45.453318765468914,-73.5767751932144,10,5
Parc Courbertin (Valéry / Perrier),45.5839877335556,-73.60809333622456,7,12
Cégep André-Laurendeau (Lapierre),45.43605512104547,-73.60577523708344,28,1
du Marché Central / Crémazie,45.53341740599902,-73.64888370037079,6,7
Place Rodolphe-Rousseau (Gohier / Édouard-Laurin),45.5129938566323,-73.68249848484993,5,19
Parc Marlborough (Beauzèle / Robichaud),45.52234149817879,-73.72167885303497,11,4
Champdoré / de Lorimier,45.566869345371856,-73.64101678133011,6,7
